geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,linien
"MULTILINESTRING ((12.107242866701865 54.176751807040283,12.106133222790842 54.176727539704743,12.104681864026073 54.176708771541918,12.102656795933312 54.176727318696415,12.102543491430259 54.176733795252431,12.102324096145017 54.176751953757055,12.101554493894426 54.176759165014666,12.100443245795393 54.176749313971023,12.100059831287526 54.176751699952518,12.099549017743733 54.176731006394441,12.098896704367347 54.176707102173566,12.098432038717855 54.176701282619433,12.098378069789886 54.17669081318126,12.098349180898989 54.17665498290151,12.098320204122361 54.176528844042863,12.098330381998986 54.176505652020204,12.098357744829801 54.176484063428674,12.098402701459557 54.17647665823123,12.100828890526252 54.176469349374337,12.100922411920632 54.176484007960603,12.100980080973301 54.176509299949146,12.101025127196269 54.176538825890461,12.101052125966419 54.176575735428422,12.101054331996528 54.176755092835215))",53d6f944-9999-11e5-957b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,17-18
"MULTILINESTRING ((12.126079587498181 54.086582633860758,12.126017490029078 54.086349420485263,12.126000823322757 54.086049303107849,12.126008093106083 54.085827609064189,12.126030380943249 54.085694861408683))",53dc6000-9999-11e5-9699-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-F1-F2
"MULTILINESTRING ((12.102967379130209 54.088079970542168,12.103082483927155 54.088134417390016,12.103201458849146 54.088173494631292,12.103306384676953 54.088189938930476,12.103443518226765 54.088180385709748,12.10357657022495 54.088151785383488,12.103645063100274 54.088117399608784))",53d76e7e-9999-11e5-9584-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27
"MULTILINESTRING ((12.101903649157938 54.086894086297846,12.101511231393628 54.08643199494518))",53d775ae-9999-11e5-9586-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-28-F1
"MULTILINESTRING ((12.101906433700123 54.086898666834308,12.102965362120427 54.088079972268694))",53d77cc0-9999-11e5-9588-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-28-F1
"MULTILINESTRING ((12.124332569086924 54.147781896949375,12.126236156028423 54.148302540425227,12.12685903981979 54.148462644814551,12.128167050642604 54.148779183277654,12.128254196024072 54.148790322939739,12.12831918117306 54.148779829951927,12.128366085955067 54.148760639809844,12.128668147972141 54.148378592922235,12.128949548581293 54.148093346392947,12.129192590737516 54.147896831992789,12.129476264066218 54.147694791952048,12.129841206701084 54.147483497905505,12.130134394148245 54.147338237439428,12.130577446169372 54.147158038039819,12.131054923448053 54.146966746771589,12.131538524023746 54.146757115506276,12.132121886154074 54.146479528665886,12.13251504389835 54.146295692599153,12.132705293363498 54.146218473142447,12.132783265371907 54.146165190138724,12.132811211080497 54.146100909526588,12.132773436526207 54.146012978413985,12.132688759702658 54.145943340543127,12.132585475966238 54.145897535964941,12.132397882984492 54.145857395363961,12.13219157216856 54.145806312125885,12.13198520926303 54.145738694380256,12.131816219144111 54.145672832559711,12.131619105885292 54.145575819887902,12.131415738190295 54.145456798058092,12.131259120229641 54.145350664734934,12.131133815133147 54.145246204437278,12.130998995553856 54.145086760133317,12.130873530066335 54.144930989759452,12.127930236637445 54.141172709054267,12.127890274681286 54.141107423366464,12.127898032369563 54.141044333468606,12.127953185863028 54.140878483320577,12.128094826247681 54.140638766147873,12.128190950582557 54.140579266413404,12.128302257056596 54.140572138751189,12.128385939140749 54.140611767609137,12.128485785850771 54.140735488035347,12.128577673575119 54.140856790660692,12.128601652852209 54.140896483125267,12.128581818152545 54.140931549679799,12.128528877777594 54.140955329235759,12.128097025988954 54.141065149087105,12.128005636204483 54.141104964386649,12.127930243840147 54.141175045404196))",53de21ce-9999-11e5-96f0-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,19
"MULTILINESTRING ((12.088012657028745 54.086614622697645,12.088013727252967 54.086226962892219))",53d792a0-9999-11e5-958d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F1
"MULTILINESTRING ((12.103853450265685 54.07469372676573,12.103490519047373 54.074446293154416,12.103117278405922 54.074156093496839,12.103084737594314 54.074094207240229,12.103100691182032 54.074022754158335,12.103173330226078 54.073941727205089,12.103397180555373 54.073804856551043,12.103683120488819 54.073653284640336,12.103804273562295 54.073622088265111,12.10394191044219 54.073631494648154,12.104055458888812 54.073683785364373,12.104817978695836 54.074173673845031))",53d75574-9999-11e5-957e-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,28-F1
"MULTILINESTRING ((12.08041963431647 54.096850479260375,12.081800642476159 54.096438166553732,12.082445727405659 54.096255129540189,12.082717750839237 54.096154209126745,12.082959602557537 54.096035516520573,12.083161069291368 54.095898969103068,12.083310099481007 54.095770814703044,12.084392905509123 54.09464015327309,12.085075384712992 54.093957990236277))",53d799c6-9999-11e5-958f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-F1
"MULTILINESTRING ((12.10868546604226 54.08344190111282,12.109623596368394 54.083947055683495))",53d7a1c8-9999-11e5-9591-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,25-27-F1-F2
