geometrie_wkt,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
"MULTILINESTRING ((12.039317421520611 54.140749034859304,12.040762302320847 54.140752597652927,12.04082528628129 54.140751138538022,12.040879937380943 54.140747525585603,12.040947197746737 54.140730698919327,12.040993116143534 54.140703545606748,12.041030065804733 54.140669476127051,12.04104088656568 54.140634696673622,12.041048631979118 54.140043326318263))",303403dc-3ef5-11e5-9f8b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Ackerweg,10110
"MULTILINESTRING ((12.057246448949185 54.135646155162732,12.059396653349898 54.13564852764582,12.059606019695424 54.135639977281457,12.059770954151629 54.135626775915341,12.059907492715165 54.135614217483599,12.060274933744948 54.135562184802765))",303c5df2-3ef5-11e5-a3be-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Trondheimer Str.,10460
"MULTILINESTRING ((12.05410818902963 54.155886186420851,12.054075149006225 54.155725172815188,12.053943500756697 54.154987304564514))",3036ed4a-3ef5-11e5-a10b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Gadebuscher Str.,10930
"MULTILINESTRING ((12.057297234888138 54.133671997788475,12.058073634411107 54.133676657722638,12.059758053776465 54.133679966517001,12.059822421026965 54.13368298977138,12.060110068991012 54.133706569447476))",303c2968-3ef5-11e5-a3a3-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Talliner Str.,10470
"MULTILINESTRING ((12.052434037235491 54.155228975244043,12.051659535601383 54.155550558393095))",3035fe62-3ef5-11e5-a092-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Crivitzer Weg,10900
"MULTILINESTRING ((12.083961082803068 54.154228676469288,12.083956202876539 54.154312968243453,12.083939959336661 54.154334995190595,12.083909311447007 54.154352000035786,12.080149512703047 54.155846052748466,12.080065074986472 54.155864889606278,12.080021634087 54.155862672001618,12.079935737857596 54.155845476021327))",303b1122-3ef5-11e5-a31b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Riedenweg,13970
"MULTILINESTRING ((12.060274933744948 54.135562184802765,12.060574198603677 54.135494190270563,12.060730121356626 54.135446755489859,12.060810342406381 54.13541490455728,12.061060572587079 54.13530308193387,12.061108254857144 54.135286882938871,12.061183196366956 54.135269771468167,12.062352694522646 54.135063032428206,12.062601628452594 54.135016355726272,12.062561502017836 54.134937299842747,12.062497154955706 54.134949104933703,12.062352694522646 54.135063032428206))",30355764-3ef5-11e5-a03b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Bei der Gärtnerei,01190
"MULTILINESTRING ((12.062942372101292 54.147903607940385,12.062999216761778 54.148341824193494,12.063131555822567 54.149192816437818,12.063191942548073 54.149633187281879,12.063025185197672 54.149645855086185,12.063065150789786 54.149858262539546,12.063445128730267 54.149833800703057,12.063591798128414 54.150634912538074,12.063833520560786 54.152077122636001))",3039916c-3ef5-11e5-a25c-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Lichtenhäger Brink,06580
"MULTILINESTRING ((12.0507585664517 54.154791807558112,12.050089436473254 54.15506669898928,12.049970774667461 54.155090740844358))",30379196-3ef5-11e5-a15e-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Hagenower Weg,10960
"MULTILINESTRING ((12.051385878158159 54.155319286996125,12.050349099880744 54.155739010269578,12.050248352973719 54.155751902304694))",30362a90-3ef5-11e5-a0a8-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Dömitzer Weg,10920
"MULTILINESTRING ((12.05364873314713 54.155915596491809,12.053686138613802 54.156133579263781,12.053683403028005 54.156166289387194,12.053643695741883 54.15621869525306,12.053427021842426 54.156419268452396,12.053390469029562 54.156470324937757))",3039c3f8-3ef5-11e5-a275-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Lubminer Str.,10980
"MULTILINESTRING ((12.053650210120733 54.155007833807879,12.053540989291617 54.154421009104027))",30373e12-3ef5-11e5-a134-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Goldberger Weg,10950
"MULTILINESTRING ((12.051041822471547 54.155030624538504,12.051872617139409 54.154695811714483))",303734b2-3ef5-11e5-a12f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Gnoiener Weg,10940
"MULTILINESTRING ((12.070515040017675 54.138093455328345,12.070711175752299 54.138091902483168,12.070854913050171 54.138079147692871,12.071031694274872 54.138052175366433,12.072665426493637 54.137766523786304,12.073587378191419 54.137599992306832,12.074214432222103 54.137472545324961,12.075212189457639 54.137286365157053,12.075288127367395 54.13726313381467,12.075324638464579 54.137213238712135,12.0753124467295 54.137171731059176,12.075078404328194 54.136728508433144))",3034a22e-3ef5-11e5-9fdd-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Am Schmarler Bach,13140
"MULTILINESTRING ((12.044902223262451 54.154556815953008,12.044806114380751 54.154537352235224,12.044400030792326 54.153698303481576,12.044364072983656 54.153605581577587))",3039cb8c-3ef5-11e5-a279-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Ludwigsluster Str.,13630
"MULTILINESTRING ((12.07252922257311 54.144759500066471,12.072412923299842 54.144738632762227,12.072306588578737 54.144713086649453,12.072217525043994 54.144674230829025,12.071992385475676 54.144565635347504,12.071911802234343 54.144539444460101,12.071809516704262 54.144519017497288,12.071702576595506 54.144507848781011,12.071316029711998 54.144498373596385,12.071176290252511 54.144499714357401,12.071082639014357 54.144508396248334,12.070983835798657 54.144530919515532,12.070900727813301 54.144578144903235,12.070852455102425 54.144622204636889,12.070834852185655 54.144663191070123,12.0708180613124 54.144958030966059,12.070826356247874 54.145010504208415,12.07085348404115 54.145076804773105,12.070902842444411 54.145150640459278,12.070955190741534 54.145201110814355,12.071043914298267 54.14526261243455,12.071128570335867 54.145307672050038,12.071236068223703 54.145348494677584,12.071353895518078 54.145376371274928,12.071476498619802 54.145391844268836,12.071615746983861 54.145396793638383,12.072362835197852 54.145405602326193,12.072527941933604 54.14539885331731))",3035b312-3ef5-11e5-a06a-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Bootsbauerweg,01480
"MULTILINESTRING ((12.048701095739352 54.154604940994403,12.048562602781422 54.154622160155014,12.047568337190238 54.154797334291146,12.046633803704397 54.154987124199366,12.046472087554148 54.155015043248568),(12.046472087554148 54.155015043248568,12.046244348725345 54.154603663687567),(12.046472087554148 54.155015043248568,12.046288396974077 54.155039555868974,12.045442654271724 54.155147170630208,12.045374237238521 54.155165168374758,12.045331962445083 54.155187739076304))",303955e4-3ef5-11e5-a23f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Kühlungsborner Str.,13610
"MULTILINESTRING ((12.060649191696172 54.149239651893623,12.062203202776047 54.149163017109842,12.062300785625329 54.149158024348843,12.062321569010431 54.149294330801972,12.062316672703567 54.149312574862755,12.062282467134469 54.149317894293489,12.060672782941772 54.149400399059324),(12.061428071467462 54.148250080853224,12.061208557595187 54.148354609722233,12.061148855028671 54.148362727449076,12.061130791365718 54.148270001368985,12.061428071467462 54.148250080853224,12.061675489631234 54.148233869416529,12.061950437521027 54.148223214607533,12.062042603195685 54.148227300677263,12.062117501597129 54.148250355996829,12.062164781293772 54.148292835244298,12.062184175627783 54.148345303316162,12.062297936748605 54.149110490024604,12.062300785625329 54.149158024348843))",303613c0-3ef5-11e5-a09d-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Demminer Str.,06840
"MULTILINESTRING ((12.048570486477846 54.153914871668476,12.048542856926156 54.153933753344702,12.04850272212734 54.153948236932322,12.047351445550794 54.154163190447939,12.04726547698915 54.154178320666709,12.046278856396317 54.154297678325776,12.046082421460239 54.154326958097393),(12.046244348725345 54.154603663687567,12.046144518841544 54.154418141842989,12.046082421460239 54.154326958097393),(12.046082421460239 54.154326958097393,12.045930676837344 54.154349840463745,12.044902223262451 54.154556815953008))",30375e06-3ef5-11e5-a143-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Grevesmühlener Str.,13620
"MULTILINESTRING ((12.053113043510733 54.152718627709071,12.053021305701733 54.15246382611803,12.053022014878499 54.152425994880666,12.053062373384916 54.152391381115514,12.053126361501217 54.152371853333783,12.054218814255885 54.152227231175807,12.054269049094053 54.152215077475638,12.054351815829261 54.152170379860934,12.054398011722455 54.152159306247214,12.05544425912047 54.152025836442647,12.055511944308245 54.152034162191313,12.055559699498362 54.152056425356022,12.055580697759394 54.152085889636993,12.055747172815352 54.152511657673237,12.055745438049456 54.152536100309582,12.055722613545521 54.152557227904452))",303516f0-3ef5-11e5-a018-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Antwerpener Str.,13670
"MULTILINESTRING ((12.076990908588542 54.153884321519378,12.077285616960499 54.1538897039554,12.077719719022451 54.153894546449223,12.078118228360561 54.153906509396727,12.078478012546615 54.153938265407234,12.079088481209448 54.153996723934796,12.079697174919657 54.154050507839983,12.080308752344669 54.154092964426127,12.080719261304122 54.154105899216425,12.08099984510365 54.154118920105994,12.081538950272265 54.154161868488842,12.082273782725999 54.154213217507767,12.082708909780585 54.154223522756702,12.083446303559377 54.15422876485048,12.083961082803068 54.154228676469288,12.084523077668479 54.154225048216176,12.085674123430683 54.154235107504832,12.086810026507456 54.154249210397936),(12.082273782725999 54.154213217507767,12.082423906007774 54.153702532140322,12.082470929292738 54.153602486110394,12.082511953460701 54.153533445762406,12.08256272415672 54.153476709491208,12.082608973459227 54.153432107358064,12.08271953736201 54.15334801262626,12.082790119978593 54.153285960919433))",30376be4-3ef5-11e5-a14b-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Groß Kleiner Allee,03080
"MULTILINESTRING ((12.072202196807808 54.131804954058246,12.072195478310856 54.131932739006913,12.07219592990867 54.13219234426267,12.072187786771241 54.132444316564275,12.072133020328952 54.132518933196621,12.072025209222307 54.132569858527205,12.071935009400775 54.132588333778919,12.071873944669875 54.132597176545922,12.071809832027604 54.132594968322465,12.071760972919082 54.132583225810876),(12.071760972919082 54.132583225810876,12.071750728494726 54.132789280866952),(12.071760972919082 54.132583225810876,12.071666663533614 54.132560547437834,12.071612383100828 54.132551773474141,12.071525689738476 54.13255461069452,12.071471583669183 54.132573783019794,12.071458494635902 54.132594458590155,12.071465596249286 54.132614493149923,12.071484304257536 54.132632274315284,12.071491282787132 54.132654106146148,12.071485074811552 54.132786563452207))",303b7aa4-3ef5-11e5-a34f-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Schmarler Landgang,08300
"MULTILINESTRING ((12.086263247389704 54.180381368133133,12.085515996904839 54.180355931815413),(12.086901342066016 54.180408945406086,12.086263247389704 54.180381368133133))",30370b4a-3ef5-11e5-a119-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Georginenstr.,02830
"MULTILINESTRING ((12.038053085185354 54.166101906388235,12.03857177356914 54.167157949345444,12.038721333285404 54.167445631274234))",3034d24e-3ef5-11e5-9ff7-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,An den Buhnen,10800
"MULTILINESTRING ((12.063846995896149 54.155089031827465,12.065863930424214 54.154976519053498,12.066641025411457 54.154929544007572,12.066583899710013 54.154581818771369,12.066532356434436 54.154328892342249,12.066510454168538 54.154292421426071,12.066474670079025 54.154260451156226,12.066400012229673 54.154238207170771,12.066322607263114 54.154235104760197,12.064594954158158 54.154329588262804,12.064430950735979 54.154338751994622,12.064384519032579 54.154360433018859,12.064347078283854 54.154399002833813,12.064350298351128 54.154439887255499,12.064395291318165 54.154467360245832,12.06446853151035 54.154471544441918,12.064526344327339 54.154460910022294,12.064575045336527 54.154436981234852,12.06459722762148 54.15441108975083,12.064606008748184 54.154374242578768,12.064594954158158 54.154329588262804),(12.065863930424214 54.154976519053498,12.065937145673164 54.155440783749079,12.065961114215222 54.155506098574762,12.065993110368403 54.155537711629094,12.066049848414343 54.155565087696992,12.066150001037597 54.155578781220555,12.066290024625895 54.155573761903355,12.066504532593825 54.155560074765937,12.06661575047376 54.15554482698375,12.066683762616085 54.15551594437833,12.066712109027797 54.155476210709253,12.066710872718124 54.155414118382375,12.066641025411457 54.154929544007572))",3039e3f6-3ef5-11e5-a285-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Malchiner Str.,06540
"MULTILINESTRING ((12.065755712418602 54.147964556224295,12.066525358916101 54.147920641136423,12.066625285960804 54.148591209167122,12.066776189534227 54.149555949530452,12.066956587384404 54.150642433059367,12.067022318034471 54.150925634284469,12.067197899228335 54.151992800054785),(12.065152236846123 54.149637264052515,12.065595082796273 54.149611952642822,12.066364642539742 54.149573520093028,12.066776189534227 54.149555949530452),(12.064805238640806 54.145880594738088,12.064840348734336 54.146132902094145,12.064874225555133 54.146322847409259,12.064894495248213 54.146368395387903,12.064914217131523 54.146386536426668,12.064953369068391 54.146397657914534,12.065023442587012 54.146404089978567,12.065194237146816 54.14639851613196,12.06535076735592 54.146393488948341,12.065460377691407 54.146414816005503,12.065512328904697 54.146456842111981,12.06553211086959 54.14651281398185,12.065588918720971 54.146911670562041,12.065755712418602 54.147964556224295,12.064011540367098 54.14806676848545,12.063605444612779 54.148090257469796,12.063550553443246 54.148107000381025,12.063524339655531 54.148136578077938,12.06352275557818 54.148173870709826,12.063539215429332 54.148205133213331,12.063576233554215 54.148223445052295,12.063618536397948 54.148230252038687,12.063847277913862 54.148219707174668,12.063904708151286 54.148212128474576,12.063950763912761 54.148196558274101,12.063984925229837 54.148163292009833,12.063996355353249 54.148125544837647,12.063997569279337 54.148094093279667,12.064011540367098 54.14806676848545),(12.064534506045097 54.144289772539643,12.064645713321996 54.144529638535076,12.064717675782367 54.144697008670072,12.064803200397749 54.144818363238173,12.064894571586507 54.144964785474222,12.065033994963526 54.145243814736794,12.065161167297857 54.145437483658789,12.06530359156573 54.145615868001499,12.065469481247209 54.145783995392335,12.065570254659525 54.145886021244806,12.065937948782651 54.146258109424579,12.066026381709975 54.146378203463634,12.06619683031413 54.146630615799218,12.06628078858893 54.146793575216385,12.066337812990984 54.146928423312296,12.066370558111393 54.147037584876756,12.066440314055139 54.147396626007065,12.066477183930294 54.147637160225052,12.066525358916101 54.147920641136423))",3036af1a-3ef5-11e5-a0ee-0050569b7e95,Rostock,13003,"Rostock, Hansestadt",130030000,"Rostock, Hansestadt",130030000000,Flensburger Str.,01930
